
100 16
100 0x10    // 0001 0000 15
100 0x1A    // 0001 1010 1
100 0x1A    // 0001 1010 22
100 0x20    // 0010 0000 2
100 0x20    // 0010 0000 23
100 0x2A    // 0010 1010 16
100 0x2A    // 0010 1010 18
100 0x30    // 0011 0000 21
100 0x3A    // 0011 1010 20
100 0x50    // 0101 0000 6
100 0x5A    // 0101 1010 11
100 0x6F    // 0110 1111 3
100 0x6A    // 0110 1010 5
100 0x6A    // 0110 1010 14
100 0x71    // 0111 0001 4
100 0x7A    // 0111 1010 7
100 0x70    // 0111 0000 10
100 0x70    // 0111 0000 8
100 0x70    // 0111 0000 12
100 0xA0    // 1010 0000 17
100 0xDA    // 1101 1010 13
100 0xDA    // 1101 1010 19
100 0xFA    // 1111 1010 9
100 -1

101 16
101 0x00    // 0000 0000 13
101 0x0A    // 0000 1010 7
101 0x0F    // 0000 1111 1
101 0x10    // 0001 0000 8
101 0x11    // 0001 0001 2
101 0x1A    // 0001 1010 14
101 0x20    // 0010 0000 15
101 0x2A    // 0010 1010 3
101 0x2A    // 0010 1010 9
101 0x30    // 0011 0000 4
101 0x30    // 0011 0000 10
101 0x3A    // 0011 1010 16
101 0x4A    // 0100 1010 5
101 0x4A    // 0100 1010 11
101 0x4A    // 0100 1010 17
101 0x50    // 0101 0000 6
101 0x5A    // 0101 1010 12
101 0x5A    // 0101 1010 18
101 -1

102 16
102 0x10    // 0001 0000 1
102 0x10    // 0001 0000 7
102 0x31    // 0011 0001 3
102 0x3A    // 0011 1010 5
102 0x3A    // 0011 1010 10
102 0x3A    // 0011 1010 8
102 0xA0    // 1010 0000 4
102 0xAA    // 1010 1010 6
102 0xF0    // 1111 0000 9
102 0xF0    // 1111 0000 11
102 0xFA    // 1111 1010 12
102 0xFF    // 1111 1111 2
102 -1
